Gene	Ancestry	Variant rank	GeneId	TranscriptId	BioType	Egyptian_cattle_Upper	Egyptian_cattle_Middle	Egyptian_cattle_Lower	Bonsmara	Tuli	Nguni	Afrikaner	Retention breed count
BAG3	eut	low	ENSBTAG00000013641	ENSBTAT00000018131	protein_coding	0	1	0	0	0	0	0	1
BAZ2B	eut	low	ENSBTAG00000020654	ENSBTAT00000074575	protein_coding	0	0	0	0	1	0	0	1
BICD1	eut	low	ENSBTAG00000006734	ENSBTAT00000065397	protein_coding	0	0	1	0	0	0	0	1
BMS1	eut	low	ENSBTAG00000012878	ENSBTAT00000048816	protein_coding	0	0	0	0	1	0	0	1
C1orf53	eut	low	ENSBTAG00000051004	ENSBTAT00000075498	protein_coding	0	0	0	0	1	0	0	1
C25H16orf71	eut	low	ENSBTAG00000006595	ENSBTAT00000008661	protein_coding	1	0	0	0	0	0	0	1
C2CD5	eut	low	ENSBTAG00000001673	ENSBTAT00000002193	protein_coding	0	0	1	0	0	0	0	1
CAMK2D	eut	low	ENSBTAG00000014463	ENSBTAT00000019230	protein_coding	0	0	0	0	1	0	0	1
CARHSP1	eut	low	ENSBTAG00000048459	ENSBTAT00000077946	protein_coding	0	0	0	0	0	0	1	1
CCDC153	eut	low	ENSBTAG00000017794	ENSBTAT00000023660	protein_coding	1	0	0	0	0	0	0	1
CCDC180	eut	low	ENSBTAG00000015378	ENSBTAT00000030764	protein_coding	0	1	0	0	0	0	0	1
CCN1	eut	low	ENSBTAG00000009844	ENSBTAT00000012977	protein_coding	0	0	1	0	0	0	0	1
CDKL3	eut	low	ENSBTAG00000010979	ENSBTAT00000014574	protein_coding	0	0	0	0	0	0	1	1
CEP131	eut	low	ENSBTAG00000000875	ENSBTAT00000001166	protein_coding	0	0	0	0	1	0	0	1
CHIC2	eut	low	ENSBTAG00000032660	ENSBTAT00000031096	protein_coding	0	0	0	0	0	0	1	1
CHMP6	eut	low	ENSBTAG00000038745	ENSBTAT00000018623	protein_coding	0	0	0	0	1	0	0	1
CHRNB1	eut	low	ENSBTAG00000019242	ENSBTAT00000025624	protein_coding	1	0	0	0	0	0	0	1
CLK3	eut	low	ENSBTAG00000007304	ENSBTAT00000009609	protein_coding	1	0	0	0	0	0	0	1
CLK4	eut	low	ENSBTAG00000019414	ENSBTAT00000025863	protein_coding	0	0	0	1	0	0	0	1
CNOT7	eut	low	ENSBTAG00000018036	ENSBTAT00000024009	protein_coding	1	0	0	0	0	0	0	1
CRISPLD2	eut	low	ENSBTAG00000021176	ENSBTAT00000028221	protein_coding	0	0	0	0	1	0	0	1
DBR1	eut	low	ENSBTAG00000019949	ENSBTAT00000026574	protein_coding	0	0	1	0	0	0	0	1
DCLRE1A	eut	low	ENSBTAG00000020193	ENSBTAT00000026896	protein_coding	0	0	0	0	1	0	0	1
DGKQ	eut	low	ENSBTAG00000017240	ENSBTAT00000022905	protein_coding	0	0	0	0	0	0	1	1
DNAJC16	eut	low	ENSBTAG00000002476	ENSBTAT00000003212	protein_coding	0	0	0	0	0	0	1	1
DOCK8	eut	low	ENSBTAG00000002190	ENSBTAT00000002840	protein_coding	0	0	0	0	0	0	1	1
E4F1	eut	low	ENSBTAG00000009961	ENSBTAT00000013136	protein_coding	0	0	0	0	0	0	1	1
EBF3	eut	low	ENSBTAG00000008272	ENSBTAT00000010887	protein_coding	1	0	0	0	0	0	0	1
EDC3	eut	low	ENSBTAG00000007308	ENSBTAT00000009613	protein_coding	1	0	0	0	0	0	0	1
EEA1	eut	low	ENSBTAG00000000421	ENSBTAT00000047703	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000019801	eut	low	ENSBTAG00000019801	ENSBTAT00000026380	protein_coding	0	0	0	1	0	0	0	1
ENSBTAG00000021729	eut	low	ENSBTAG00000021729	ENSBTAT00000028965	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000022990	eut	low	ENSBTAG00000022990	ENSBTAT00000031232	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000023000	eut	low	ENSBTAG00000023000	ENSBTAT00000031240	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000027341	eut	low	ENSBTAG00000027341	ENSBTAT00000039211	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000040034	eut	low	ENSBTAG00000040034	ENSBTAT00000053340	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000047458	eut	low	ENSBTAG00000047458	ENSBTAT00000063384	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000048609	eut	low	ENSBTAG00000048609	ENSBTAT00000079354	pseudogene	1	0	0	0	0	0	0	1
ENSBTAG00000048686	eut	low	ENSBTAG00000048686	ENSBTAT00000055838	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000048786	eut	low	ENSBTAG00000048786	ENSBTAT00000081843	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000048799	eut	low	ENSBTAG00000048799	ENSBTAT00000068741	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000048861	eut	low	ENSBTAG00000048861	ENSBTAT00000079300	protein_coding	0	0	0	1	0	0	0	1
ENSBTAG00000048884	eut	low	ENSBTAG00000048884	ENSBTAT00000077822	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000048924	eut	low	ENSBTAG00000048924	ENSBTAT00000086770	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000049018	eut	low	ENSBTAG00000049018	ENSBTAT00000068080	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000049109	eut	low	ENSBTAG00000049109	ENSBTAT00000077617	protein_coding	1	0	0	0	0	0	0	1
ENSBTAG00000049224	eut	low	ENSBTAG00000049224	ENSBTAT00000069321	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000049436	eut	low	ENSBTAG00000049436	ENSBTAT00000080212	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000049592	eut	low	ENSBTAG00000049592	ENSBTAT00000080573	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000049831	eut	low	ENSBTAG00000049831	ENSBTAT00000085541	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000049955	eut	low	ENSBTAG00000049955	ENSBTAT00000087309	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000052130	eut	low	ENSBTAG00000052130	ENSBTAT00000067648	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000052728	eut	low	ENSBTAG00000052728	ENSBTAT00000021705	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000053526	eut	low	ENSBTAG00000053526	ENSBTAT00000068500	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000053743	eut	low	ENSBTAG00000053743	ENSBTAT00000071298	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000054190	eut	low	ENSBTAG00000054190	ENSBTAT00000082985	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000054200	eut	low	ENSBTAG00000054200	ENSBTAT00000064410	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000054458	eut	low	ENSBTAG00000054458	ENSBTAT00000068020	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000054966	eut	low	ENSBTAG00000054966	ENSBTAT00000083273	protein_coding	0	0	0	0	0	1	0	1
ERCC8	eut	low	ENSBTAG00000021606	ENSBTAT00000028792	protein_coding	0	0	0	0	0	0	1	1
EXOC4	eut	low	ENSBTAG00000014112	ENSBTAT00000018759	protein_coding	0	0	0	0	1	0	0	1
FAF1	eut	low	ENSBTAG00000014482	ENSBTAT00000019259	protein_coding	0	0	0	1	0	0	0	1
FANCC	eut	low	ENSBTAG00000017195	ENSBTAT00000022853	protein_coding	0	0	0	0	0	0	1	1
FBXL4	eut	low	ENSBTAG00000005729	ENSBTAT00000007531	protein_coding	1	0	0	0	0	0	0	1
FHOD1	eut	low	ENSBTAG00000032427	ENSBTAT00000045966	protein_coding	1	0	0	0	0	0	0	1
FRMD3	eut	low	ENSBTAG00000005247	ENSBTAT00000006906	protein_coding	1	0	0	0	0	0	0	1
GABRR1	eut	low	ENSBTAG00000011672	ENSBTAT00000015496	protein_coding	0	1	0	0	0	0	0	1
GIMD1	eut	low	ENSBTAG00000047891	ENSBTAT00000065796	protein_coding	0	0	1	0	0	0	0	1
GK5	eut	low	ENSBTAG00000018138	ENSBTAT00000024143	protein_coding	0	0	1	0	0	0	0	1
GOLGA4	eut	low	ENSBTAG00000016563	ENSBTAT00000022033	protein_coding	0	0	0	0	1	0	0	1
GPD2	eut	low	ENSBTAG00000009770	ENSBTAT00000012886	protein_coding	0	1	0	0	0	0	0	1
GRPEL1	eut	low	ENSBTAG00000010181	ENSBTAT00000013431	protein_coding	0	0	0	0	1	0	0	1
GSX2	eut	low	ENSBTAG00000045812	ENSBTAT00000065114	protein_coding	0	0	0	0	0	0	1	1
HOXA10	eut	low	ENSBTAG00000040082	ENSBTAT00000056468	protein_coding	1	0	0	0	0	0	0	1
HSD11B2	eut	low	ENSBTAG00000005685	ENSBTAT00000007470	protein_coding	1	0	0	0	0	0	0	1
IDUA	eut	low	ENSBTAG00000007002	ENSBTAT00000009212	protein_coding	0	0	0	0	0	0	1	1
IGF2BP2	eut	low	ENSBTAG00000007666	ENSBTAT00000036032	protein_coding	0	1	0	0	0	0	0	1
IL12RB2	eut	low	ENSBTAG00000009455	ENSBTAT00000012441	protein_coding	0	0	1	0	0	0	0	1
KCNJ12	eut	low	ENSBTAG00000020061	ENSBTAT00000026726	protein_coding	0	0	0	0	0	0	1	1
KCTD19	eut	low	ENSBTAG00000032396	ENSBTAT00000045955	protein_coding	1	0	0	0	0	0	0	1
KIAA0232	eut	low	ENSBTAG00000019427	ENSBTAT00000025878	protein_coding	1	0	0	0	0	0	0	1
KIF21A	eut	low	ENSBTAG00000004832	ENSBTAT00000006351	protein_coding	0	0	0	0	0	0	1	1
MAP2K3	eut	low	ENSBTAG00000010576	ENSBTAT00000013983	protein_coding	0	0	0	0	0	0	1	1
MCUB	eut	low	ENSBTAG00000012995	ENSBTAT00000017276	protein_coding	0	0	0	0	1	0	0	1
MEP1A	eut	low	ENSBTAG00000004345	ENSBTAT00000005686	protein_coding	0	0	0	0	1	0	0	1
MROH7	eut	low	ENSBTAG00000044141	ENSBTAT00000061627	protein_coding	0	0	0	1	0	0	0	1
MRPL1	eut	low	ENSBTAG00000018360	ENSBTAT00000045390	protein_coding	0	0	1	0	0	0	0	1
NCOA3	eut	low	ENSBTAG00000007489	ENSBTAT00000009850	protein_coding	0	0	0	1	0	0	0	1
NHLRC2	eut	low	ENSBTAG00000003690	ENSBTAT00000004806	protein_coding	0	0	0	0	1	0	0	1
NLRX1	eut	low	ENSBTAG00000040569	ENSBTAT00000016601	protein_coding	1	0	0	0	0	0	0	1
NRDC	eut	low	ENSBTAG00000021174	ENSBTAT00000028220	protein_coding	0	0	0	1	0	0	0	1
NRF1	eut	low	ENSBTAG00000014273	ENSBTAT00000052122	protein_coding	0	0	0	0	1	0	0	1
NUP214	eut	low	ENSBTAG00000021896	ENSBTAT00000029190	protein_coding	0	0	0	0	1	0	0	1
OR8S1	eut	low	ENSBTAG00000038670	ENSBTAT00000055858	protein_coding	0	0	1	0	0	0	0	1
OR9A4	eut	low	ENSBTAG00000054915	ENSBTAT00000020136	protein_coding	0	0	1	0	0	0	0	1
OSBPL9	eut	low	ENSBTAG00000021170	ENSBTAT00000028214	protein_coding	0	0	0	1	0	0	0	1
PATJ	eut	low	ENSBTAG00000021975	ENSBTAT00000029300	protein_coding	0	0	0	0	0	1	0	1
PDZD3	eut	low	ENSBTAG00000012507	ENSBTAT00000023657	protein_coding	1	0	0	0	0	0	0	1
PLEKHG4	eut	low	ENSBTAG00000021570	ENSBTAT00000028741	protein_coding	1	0	0	0	0	0	0	1
PLG	eut	low	ENSBTAG00000001271	ENSBTAT00000001674	protein_coding	0	0	0	0	0	1	0	1
PM20D2	eut	low	ENSBTAG00000011667	ENSBTAT00000015493	protein_coding	0	1	0	0	0	0	0	1
PMM2	eut	low	ENSBTAG00000001440	ENSBTAT00000001888	protein_coding	0	0	0	0	0	0	1	1
POGK	eut	low	ENSBTAG00000010775	ENSBTAT00000049793	protein_coding	0	0	0	0	1	0	0	1
POLR2A	eut	low	ENSBTAG00000046765	ENSBTAT00000064788	protein_coding	1	0	0	0	0	0	0	1
PPFIA2	eut	low	ENSBTAG00000003036	ENSBTAT00000061316	protein_coding	0	0	0	0	1	0	0	1
PRSS37	eut	low	ENSBTAG00000018442	ENSBTAT00000024541	protein_coding	0	0	1	0	0	0	0	1
RAB26	eut	low	ENSBTAG00000000279	ENSBTAT00000000348	protein_coding	0	0	0	0	0	0	1	1
RAPGEF4	eut	low	ENSBTAG00000020984	ENSBTAT00000061074	protein_coding	0	0	0	0	1	0	0	1
RASSF6	eut	low	ENSBTAG00000011935	ENSBTAT00000015836	protein_coding	0	0	1	0	0	0	0	1
RNPS1	eut	low	ENSBTAG00000009969	ENSBTAT00000013151	protein_coding	0	0	0	0	0	0	1	1
RPTOR	eut	low	ENSBTAG00000002883	ENSBTAT00000003739	protein_coding	0	0	0	0	1	0	0	1
SCN1A	eut	low	ENSBTAG00000018520	ENSBTAT00000021951	protein_coding	0	0	0	0	1	0	0	1
SEMA7A	eut	low	ENSBTAG00000011446	ENSBTAT00000015210	protein_coding	0	0	0	1	0	0	0	1
SENP2	eut	low	ENSBTAG00000001749	ENSBTAT00000002296	protein_coding	0	1	0	0	0	0	0	1
SERPINI2	eut	low	ENSBTAG00000011423	ENSBTAT00000015176	protein_coding	1	0	0	0	0	0	0	1
SLC22A3	eut	low	ENSBTAG00000039080	ENSBTAT00000011256	protein_coding	0	0	0	0	0	1	0	1
SLC38A10	eut	low	ENSBTAG00000018271	ENSBTAT00000024319	protein_coding	0	0	0	0	1	0	0	1
SLC45A2	eut	low	ENSBTAG00000018235	ENSBTAT00000024272	protein_coding	0	0	0	0	1	0	0	1
SLC49A3	eut	low	ENSBTAG00000031553	ENSBTAT00000044721	protein_coding	0	0	1	0	0	0	0	1
SLC9A5	eut	low	ENSBTAG00000039190	ENSBTAT00000054801	protein_coding	1	0	0	0	0	0	0	1
SPEM2	eut	low	ENSBTAG00000048416	ENSBTAT00000077369	protein_coding	1	0	0	0	0	0	0	1
SPG7	eut	low	ENSBTAG00000012041	ENSBTAT00000032500	protein_coding	0	0	0	1	0	0	0	1
SRI	eut	low	ENSBTAG00000010390	ENSBTAT00000053811	protein_coding	0	0	1	0	0	0	0	1
STEAP4	eut	low	ENSBTAG00000002340	ENSBTAT00000030838	protein_coding	0	0	1	0	0	0	0	1
STPG2	eut	low	ENSBTAG00000049465	ENSBTAT00000073271	protein_coding	0	0	1	0	0	0	0	1
STRIP2	eut	low	ENSBTAG00000007206	ENSBTAT00000009480	protein_coding	0	0	0	0	0	1	0	1
SULF2	eut	low	ENSBTAG00000007490	ENSBTAT00000009852	protein_coding	0	0	0	1	0	0	0	1
TARS3	eut	low	ENSBTAG00000007651	ENSBTAT00000052449	protein_coding	0	0	0	0	0	0	1	1
TEKT4	eut	low	ENSBTAG00000012601	ENSBTAT00000016726	protein_coding	0	0	0	0	0	0	1	1
TEPSIN	eut	low	ENSBTAG00000019972	ENSBTAT00000026602	protein_coding	0	0	0	0	1	0	0	1
TGFBR3	eut	low	ENSBTAG00000024269	ENSBTAT00000033522	protein_coding	1	0	0	0	0	0	0	1
TREM1	eut	low	ENSBTAG00000017593	ENSBTAT00000023397	protein_coding	0	1	0	0	0	0	0	1
TREM2	eut	low	ENSBTAG00000007275	ENSBTAT00000009568	protein_coding	0	1	0	0	0	0	0	1
TREML1	eut	low	ENSBTAG00000006485	ENSBTAT00000008500	protein_coding	0	1	0	0	0	0	0	1
TRIM35	eut	low	ENSBTAG00000009958	ENSBTAT00000013134	protein_coding	1	0	0	0	0	0	0	1
TSC2	eut	low	ENSBTAG00000020617	ENSBTAT00000049485	protein_coding	0	0	0	0	0	0	1	1
TTC21B	eut	low	ENSBTAG00000016512	ENSBTAT00000005682	protein_coding	0	0	0	0	1	0	0	1
VDAC1	eut	low	ENSBTAG00000013113	ENSBTAT00000017430	protein_coding	0	0	0	0	0	0	1	1
VPS37A	eut	low	ENSBTAG00000010355	ENSBTAT00000013675	protein_coding	1	0	0	0	0	0	0	1
WDFY3	eut	low	ENSBTAG00000013495	ENSBTAT00000017949	protein_coding	0	0	0	1	0	0	0	1
WDR49	eut	low	ENSBTAG00000031618	ENSBTAT00000044820	protein_coding	1	0	0	0	0	0	0	1
XRN1	eut	low	ENSBTAG00000011524	ENSBTAT00000015318	protein_coding	0	0	1	0	0	0	0	1
ZBTB7C	eut	low	ENSBTAG00000013306	ENSBTAT00000077517	protein_coding	0	1	0	0	0	0	0	1
ZDHHC1	eut	low	ENSBTAG00000038134	ENSBTAT00000013295	protein_coding	1	0	0	0	0	0	0	1
ZDHHC2	eut	low	ENSBTAG00000044194	ENSBTAT00000060981	protein_coding	1	0	0	0	0	0	0	1
ZNF354A	eut	low	ENSBTAG00000006428	ENSBTAT00000008427	protein_coding	0	0	0	1	0	0	0	1
ZNF500	eut	low	ENSBTAG00000037566	ENSBTAT00000056680	protein_coding	1	0	0	0	0	0	0	1
ZNF598	eut	low	ENSBTAG00000001023	ENSBTAT00000001356	protein_coding	0	0	0	0	0	0	1	1
ZNHIT6	eut	low	ENSBTAG00000021051	ENSBTAT00000028038	protein_coding	0	0	1	0	0	0	0	1
ZRANB1	eut	low	ENSBTAG00000003395	ENSBTAT00000004401	protein_coding	0	0	0	1	0	0	0	1
